year,scenario,region,mean
2042,ssp245,Global,-0.1499046740916204
2043,ssp245,Global,-0.04659045134972806
2044,ssp245,Global,-0.007219168311570384
2045,ssp245,Global,-0.025488197771168054
2046,ssp245,Global,0.06789071875585023
2047,ssp245,Global,0.16286864267015125
2048,ssp245,Global,0.0353600194045699
2049,ssp245,Global,0.2198938281975175
2050,ssp245,Global,0.13159571828177707
2051,ssp245,Global,0.19139602799685668
2052,ssp245,Global,0.18643563291495488
2053,ssp245,Global,0.3747209867314628
2054,ssp245,Global,0.1796609640139573
2055,ssp245,Global,0.2787029094019625
2056,ssp245,Global,0.436885854603455
2057,ssp245,Global,0.508508275437299
2058,ssp245,Global,0.17717573499911915
2059,ssp245,Global,0.4003135602048804
2060,ssp245,Global,0.5161652921533425
2061,ssp245,Global,0.573571434468421
2062,ssp245,Global,0.35084283469158994
2063,ssp245,Global,0.43965103868862454
2064,ssp245,Global,0.5226477536474002
2065,ssp245,Global,0.3251825090954011
2066,ssp245,Global,0.3648022174071426
2067,ssp245,Global,0.4903908339176185
2068,ssp245,Global,0.532430089920345
2069,ssp245,Global,0.4738174607297314
2070,ssp245,Global,0.3490211773065986
2071,ssp245,Global,0.4399507510949277
2072,ssp245,Global,0.6253720402698314
2073,ssp245,Global,0.6298100712010084
2074,ssp245,Global,0.5499843090435668
2075,ssp245,Global,0.6326689114970484
2076,ssp245,Global,0.7273267411477704
2077,ssp245,Global,0.8422534215980345
2078,ssp245,Global,0.6425219189368707
2079,ssp245,Global,0.7049627086896949
2080,ssp245,Global,0.8002949717040277
2081,ssp245,Global,0.6339798204441895
2082,ssp245,Global,0.8753368114420171
2083,ssp245,Global,0.8472292403229255
2084,ssp245,Global,0.6547968999045264
2085,ssp245,Global,0.8469611635480566
2086,ssp245,Global,0.9729112096545119
2087,ssp245,Global,0.5913736380050726
2088,ssp245,Global,0.7778025052204319
2089,ssp245,Global,0.8796232318055988
2090,ssp245,Global,0.8165698469479682
2091,ssp245,Global,0.6429980905806235
2092,ssp245,Global,0.8899111800842296
2093,ssp245,Global,0.7786871945867775
2094,ssp245,Global,0.8651226290451965
2095,ssp245,Global,1.050499500647871
2096,ssp245,Global,0.7313000204946741
2097,ssp245,Global,0.9241889809461561
2098,ssp245,Global,0.9612787515789226
2099,ssp245,Global,0.7850580638473584
