year,anom,scenario,country
2078,4.052817267286843,ssp245,Russia
2079,3.4806750492259755,ssp245,Russia
2080,4.548792149120157,ssp245,Russia
2081,3.547019320232478,ssp245,Russia
2082,3.568320975880983,ssp245,Russia
2083,2.9033798838962346,ssp245,Russia
2084,3.7048136945581995,ssp245,Russia
2085,3.255098041685073,ssp245,Russia
2086,3.383237436213575,ssp245,Russia
2087,2.8717919233735234,ssp245,Russia
2088,3.0006745685524954,ssp245,Russia
2089,3.4312540518449732,ssp245,Russia
2090,2.49276334673919,ssp245,Russia
2091,3.1064729695873523,ssp245,Russia
2092,3.288527516621919,ssp245,Russia
2093,3.1908715251302042,ssp245,Russia
2094,3.343374271016696,ssp245,Russia
2095,3.813215438854291,ssp245,Russia
2096,3.398114291880136,ssp245,Russia
2097,3.5138390311552494,ssp245,Russia
2098,3.1334253033506565,ssp245,Russia
2099,3.4948318929377473,ssp245,Russia
2100,3.458281473586422,ssp245,Russia
2015,0.4402208859328482,ssp245,Japan
2016,0.18473560028565722,ssp245,Japan
2017,0.6066931802784526,ssp245,Japan
2018,0.755532992487555,ssp245,Japan
2019,0.6270648462165065,ssp245,Japan
2020,1.4685353210359335,ssp245,Japan
2021,0.6583522092487417,ssp245,Japan
2022,0.7612273118015247,ssp245,Japan
2023,1.060603267025779,ssp245,Japan
2024,1.3854030295390634,ssp245,Japan
2025,0.44832590748952816,ssp245,Japan
2026,0.9606562421242025,ssp245,Japan
2027,1.3003335502877313,ssp245,Japan
2028,0.012119822442825489,ssp245,Japan
2029,1.0890189914495914,ssp245,Japan
2030,0.5511413169330507,ssp245,Japan
2031,1.7139260035780601,ssp245,Japan
2032,0.6444527691015882,ssp245,Japan
2033,1.1418580353478316,ssp245,Japan
2034,0.3909480320605618,ssp245,Japan
2035,1.0236485146687413,ssp245,Japan
2036,1.1731367858144266,ssp245,Japan
2037,1.836826836602588,ssp245,Japan
2038,0.9710157672062639,ssp245,Japan
2039,1.1602537353873201,ssp245,Japan
2040,1.2314190356547985,ssp245,Japan
2041,0.9522782942959088,ssp245,Japan
2042,1.0159513767936605,ssp245,Japan
2043,0.9058207855173396,ssp245,Japan
2044,1.152611346922592,ssp245,Japan
2045,1.6848525620356614,ssp245,Japan
2046,2.081075155559028,ssp245,Japan
2047,0.8018964154618982,ssp245,Japan
2048,1.445252638647763,ssp245,Japan
2049,0.8176677655905089,ssp245,Japan
2050,1.2509931426557561,ssp245,Japan
2051,1.7069464118952231,ssp245,Japan
2052,0.9729815131083521,ssp245,Japan
2053,1.7349934463103465,ssp245,Japan
2054,1.7306503057666585,ssp245,Japan
2055,1.034695967620534,ssp245,Japan
2056,1.915572114080695,ssp245,Japan
2057,1.4519036452170555,ssp245,Japan
2058,1.4113818111883436,ssp245,Japan
2059,1.8142686746085963,ssp245,Japan
2060,2.035473113818028,ssp245,Japan
2061,1.1287272047160137,ssp245,Japan
2062,1.2136210053906422,ssp245,Japan
2063,1.4931061582919551,ssp245,Japan
2064,1.2976634826344495,ssp245,Japan
2065,1.525875173404673,ssp245,Japan
2066,2.097019812456131,ssp245,Japan
2067,2.5669048131321603,ssp245,Japan
2068,1.718592994857944,ssp245,Japan
2069,1.8821959269751858,ssp245,Japan
